feature,feature_type,non_null_rows,unique_values,non_fraud_mean,fraud_mean,mean_difference,target_correlation,minimum_group_fraud_rate,maximum_group_fraud_rate,fraud_rate_range,proxy_risk_score
failed_transaction_count_7d,numeric,50000,5,1.5073527244864882,3.0514719611626315,1.5441192366761434,0.5098712420507208,,,,0.5098712420507208
risk_score,numeric,50000,9931,0.42515837680134383,0.6629038837368519,0.2377455069355081,0.3858099724146537,,,,0.3858099724146537
merchant_category,categorical,50000,5,,,,,0.31705372271504034,0.3262830793905373,0.009229356675496958,0.009229356675496958
authentication_method,categorical,50000,4,,,,,0.31606546956936277,0.32516577713084266,0.009100307561479892,0.009100307561479892
location,categorical,50000,5,,,,,0.3157894736842105,0.3248613212304589,0.009071847546248402,0.009071847546248402
daily_transaction_count,numeric,50000,14,7.5048772581263075,7.443766726831393,-0.06111053129491406,-0.007064583509589297,,,,0.007064583509589297
device_type,categorical,50000,3,,,,,0.31881009615384615,0.32564515167769237,0.006835055523846223,0.006835055523846223
card_type,categorical,50000,4,,,,,0.3181281021035216,0.32495133030499673,0.006823228201475129,0.006823228201475129
transaction_type,categorical,50000,4,,,,,0.31835205992509363,0.32490163012928613,0.006549570204192501,0.006549570204192501
hour,numeric,50000,24,11.488727787109893,11.574780606211489,0.0860528191015959,0.005822090372677175,,,,0.005822090372677175
day_of_week,numeric,50000,7,3.009400878201161,3.0319910375303416,0.022590159329180626,0.005271681888136525,,,,0.005271681888136525
day,numeric,50000,31,15.68744290218961,15.78664343063422,0.09920052844461047,0.0052618930535164934,,,,0.0052618930535164934
account_balance,numeric,50000,49867,50356.47285238558,50162.264625630174,-194.20822675540694,-0.0031534407886595435,,,,0.0031534407886595435
card_age,numeric,50000,239,120.14805646420888,119.68712267380344,-0.46093379040543425,-0.0031202658387744077,,,,0.0031202658387744077
ip_address_flag,numeric,50000,2,0.049745085904576665,0.05116076429949586,0.0014156783949191981,0.0030276466210913213,,,,0.0030276466210913213
transaction_amount,numeric,50000,21763,99.28190728789085,99.68367772452854,0.4017704366376904,0.0019012078927750794,,,,0.0019012078927750794
month,numeric,50000,12,6.529956089941944,6.521005788261654,-0.008950301680290096,-0.001212800601994119,,,,0.001212800601994119
previous_fraudulent_activity,numeric,50000,2,0.0985471370052751,0.0980892512603473,-0.0004578857449278051,-0.0007178953551935746,,,,0.0007178953551935746
avg_transaction_amount_7d,numeric,50000,31420,255.20353048654698,255.41637019978842,0.21283971324143636,0.0007030246455089121,,,,0.0007030246455089121
transaction_distance,numeric,50000,47546,2499.2787622668197,2498.9221092923385,-0.35665297448122146,-0.00011550194237629114,,,,0.00011550194237629114
is_weekend,numeric,50000,2,0.2996198390946866,0.2996825791996017,6.27401049150822e-05,6.395775343744715e-05,,,,6.395775343744715e-05
year,numeric,50000,1,2023.0,2023.0,0.0,,,,,-1.0
