daily_transaction_count,total_transactions,fraud_transactions,fraud_rate,fraud_rate_pct
1,3598,1190,0.33073929961089493,33.07392996108949
2,3605,1183,0.32815533980582523,32.81553398058252
3,3634,1145,0.3150798018712163,31.507980187121632
4,3606,1183,0.3280643372157515,32.806433721575154
5,3582,1147,0.32021217197096596,32.0212171970966
6,3521,1110,0.3152513490485657,31.52513490485657
7,3574,1172,0.3279238947957471,32.79238947957471
8,3418,1089,0.31860737273259215,31.860737273259215
9,3538,1164,0.32899943470887505,32.89994347088751
10,3623,1153,0.31824454871653324,31.824454871653323
11,3620,1166,0.32209944751381214,32.209944751381215
12,3586,1149,0.3204127161182376,32.04127161182376
13,3524,1079,0.3061861520998865,30.618615209988647
14,3571,1137,0.3183982077849342,31.839820778493422
